Item type,Authors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Folders filed in,Labels filed in,Publisher,Address,Book title,Date published,Date accessed,ISSN,ISSN (alt.),URLs,DOI,PMID,PMC ID,Abstract,Keywords,Affiliation,Language,Sub-type,School
Journal Article,"Korunes KL,Samuk K",pixy: Unbiased estimation of nucleotide diversity and divergence in the presence of missing data,Mol. Ecol. Resour.,Molecular ecology resources,2021,21,4,1359-1368,Samuk Publication List,,,,,2021-05,,1755-098X,1755-0998,http://dx.doi.org/10.1111/1755-0998.13326;https://www.ncbi.nlm.nih.gov/pubmed/33453139;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044049;https://doi.org/10.1111/1755-0998.13326;https://onlinelibrary.wiley.com/doi/10.1111/1755-0998.13326;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1755-0998.13326;https://onlinelibrary-wiley-com.proxy.lib.duke.edu/doi/pdfdirect/10.1111/1755-0998.13326,10.1111/1755-0998.13326,33453139,PMC8044049,"Population genetic analyses often use summary statistics to describe patterns of genetic variation and provide insight into evolutionary processes. Among the most fundamental of these summary statistics are π and dXY , which are used to describe genetic diversity within and between populations, respectively. Here, we address a widespread issue in π and dXY calculation: systematic bias generated by missing data of various types. Many popular methods for calculating π and dXY operate on data encoded in the variant call format (VCF), which condenses genetic data by omitting invariant sites. When calculating π and dXY using a VCF, it is often implicitly assumed that missing genotypes (including those at sites not represented in the VCF) are homozygous for the reference allele. Here, we show how this assumption can result in substantial downward bias in estimates of π and dXY that is directly proportional to the amount of missing data. We discuss the pervasive nature and importance of this problem in population genetics, and introduce a user-friendly UNIX command line utility, pixy, that solves this problem via an algorithm that generates unbiased estimates of π and dXY in the face of missing data. We compare pixy to existing methods using both simulated and empirical data, and show that pixy alone produces unbiased estimates of π and dXY regardless of the form or amount of missing data. In summary, our software solves a long-standing problem in applied population genetics and highlights the importance of properly accounting for missing data in population genetic analyses.",bioinfomatics/phyloinfomatics; genomics/proteomics; molecular evolution; population genetics - empirical; software,"Department of Evolutionary Anthropology, Duke University, Durham, NC, USA. Department of Biology, Duke University, Durham, NC, USA.",en,Research Article,
Book Chapter,"Korunes KL,Samuk K,Noor MA",Disentangling Types of Linked Selection Using Patterns of Nucleotide Variation in Drosophila pseudoobscura,,,2021,,,22-Jan,Samuk Publication List,,Springer International Publishing,Cham,Population Genomics,2021-02,,,,https://doi.org/10.1007/13836_2021_87;http://dx.doi.org/10.1007/13836_2021_87,10.1007/13836_2021_87,,,"A central goal in evolutionary genetics is to understand the forces that drive patterns of nucleotide variation within species. Recombination rate and nucleotide diversity are positively correlated across loci within many species. Selective sweeps and background selection both may contribute to this pattern by reducing nucleotide variation disproportionately in regions of low recombination. While there is unambiguous documentation of some forms of selective sweeps, it is less clear how much background selection and soft selective sweeps contribute. Here, we discuss the study of these different types of linked selection, paying particular attention to the large body of work devoted to linked selection in Drosophila. We discuss patterns of nucleotide variation in the classic model system Drosophila pseudoobscura, and we leverage this system to test for the effects of linked selection in the near absence of hard, complete selective sweeps. Our case study of variation in sets of loci shared between Drosophila pseudoobscura and D. miranda suggests that selection at linked sites may reduce nucleotide variation even in the absence of hard selective sweeps. We discuss how this work relates to recent approaches and challenges in the study of how selection at linked sites influences patterns of nucleotide variation.",,,,,
Journal Article,"Miller SE,Legan AW,Henshaw MT,Ostevik KL,Samuk K,Uy FMK,Sheehan MJ",Evolutionary dynamics of recent selection on cognitive abilities,Proc. Natl. Acad. Sci. U. S. A.,Proceedings of the National Academy of Sciences of the United States of America,2020,117,6,3045-3052,Samuk Publication List,,,,,2020-11,,0027-8424,1091-6490,"http://dx.doi.org/10.1073/pnas.1918592117;https://www.ncbi.nlm.nih.gov/pubmed/31980529;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7022144;http://www.pnas.org/cgi/pmidlookup?view=long&pmid=31980529;https://scholar.google.ca/scholar?cluster=9524948326634061828,5886530378916646036&hl=en&as_sdt=0,5&sciodt=0,5;https://www.pnas.org/content/pnas/117/6/3045.full.pdf",10.1073/pnas.1918592117,31980529,PMC7022144,"Cognitive abilities can vary dramatically among species. The relative importance of social and ecological challenges in shaping cognitive evolution has been the subject of a long-running and recently renewed debate, but little work has sought to understand the selective dynamics underlying the evolution of cognitive abilities. Here, we investigate recent selection related to cognition in the paper wasp Polistes fuscatus-a wasp that has uniquely evolved visual individual recognition abilities. We generate high quality de novo genome assemblies and population genomic resources for multiple species of paper wasps and use a population genomic framework to interrogate the probable mode and tempo of cognitive evolution. Recent, strong, hard selective sweeps in P. fuscatus contain loci annotated with functions in long-term memory formation, mushroom body development, and visual processing, traits which have recently evolved in association with individual recognition. The homologous pathways are not under selection in closely related wasps that lack individual recognition. Indeed, the prevalence of candidate cognition loci within the strongest selective sweeps suggests that the evolution of cognitive abilities has been among the strongest selection pressures in P. fuscatus' recent evolutionary history. Detailed analyses of selective sweeps containing candidate cognition loci reveal multiple cases of hard selective sweeps within the last few thousand years on de novo mutations, mainly in noncoding regions. These data provide unprecedented insight into some of the processes by which cognition evolves.",cognition; evolutionary dynamics; selective sweeps; social evolution; wasps,"Department of Neurobiology and Behavior, Cornell University, Ithaca, NY 14853. Department of Biology, Grand Valley State University, Allendale, MI 49401. Department of Biology, Duke University, Durham, NC 27708. Department of Biology, University of Miami, Coral Gables, FL 33146. Department of Neurobiology and Behavior, Cornell University, Ithaca, NY 14853; msheehan@cornell.edu.",en,Research Article,
Journal Article,"Samuk K,Xue J,Rennision DJ",Exposure to predators does not lead to the evolution of larger brains in experimental populations of threespine stickleback,Evolution,Evolution; international journal of organic evolution,2018,72,4,916-929,Samuk Publication List,,,,,2018-04,,0014-3820,1558-5646,http://dx.doi.org/10.1111/evo.13444;https://www.ncbi.nlm.nih.gov/pubmed/29392719;https://doi.org/10.1111/evo.13444;http://doi.wiley.com/10.1111/evo.13444;https://onlinelibrary.wiley.com/doi/abs/10.1111/evo.13444;https://onlinelibrary-wiley-com.proxy.lib.duke.edu/doi/pdfdirect/10.1111/evo.13444,10.1111/evo.13444,29392719,,"Natural selection is often invoked to explain differences in brain size among vertebrates. However, the particular agents of selection that shape brain size variation remain obscure. Recent studies suggest that predators may select for larger brains because increased cognitive and sensory abilities allow prey to better elude predators. Yet, there is little direct evidence that exposure to predators causes the evolution of larger brains in prey species. We experimentally tested this prediction by exposing families of 1000-2000 F2 hybrid benthic-limnetic threespine stickleback to predators under naturalistic conditions, along with matched controls. After two generations of selection, we found that fish from the predator addition treatment had significantly smaller brains (specifically smaller telencephalons and optic lobes) than fish from the control treatment. After an additional generation of selection, we reared experimental fish in a common environment and found that this difference in brain size was maintained in the offspring of fish from the predator addition treatment. Our results provide direct experimental evidence that (a) predators can indeed drive the evolution of brain size--but not in the fashion commonly expected and (b) that the tools of experimental evolution can be used to the study the evolution of the vertebrate brain.",Brain; experimental evolution; predation; stickleback,"Department of Biology, Duke University, Durham, North Carolina 27708. Department of Zoology, University of British Columbia, Vancouver, BC V6T 1Z4, Canada. Institute of Ecology and Evolution, University of Bern, Bern, Switzerland.",en,Research Article,
Journal Article,"Miller SE,Samuk KM,Rennison DJ",An experimental test of the effect of predation upon behaviour and trait correlations in the threespine stickleback,Biol. J. Linn. Soc. Lond.,Biological journal of the Linnean Society. Linnean Society of London,2016,119,1,117-125,Samuk Publication List,,Oxford Academic,,,2016-07,6/22/2020,0024-4066,,"https://academic.oup.com/biolinnean/article-abstract/119/1/117/2701662;http://dx.doi.org/10.1111/bij.12790;https://scholar.google.ca/scholar?cluster=1547271993377422855&hl=en&as_sdt=0,5&sciodt=0,5;https://academic.oup.com/biolinnean/article-pdf/119/1/117/16718618/bij12790.pdf",10.1111/bij.12790,,,"Benthic and limnetic threespine stickleback (Gasterosteus aculeatus) are a classic example of ecological speciation. Behavioural and armour divergence between these species has been predicted to be the result of divergent selection driven in part by differential predation from cutthroat trout (Oncorhynchus clarki). To experimentally test this prediction, we reared split families of benthic–limnetic hybrids in the presence or absence of trout predation. Our results show that the presence of trout had little effect upon stickleback behaviour. We then compared performance in behavioural assays among stickleback that varied in armour to test if armour morphology correlates with behaviour. Our measurements revealed trait correlations between several behaviours and components of armour morphology. Trout predation did not result in an increased correlation between traits, therefore differential trout predation between benthics and limnetics is unlikely to be the cause of these correlations. The presence of trait correlations in advanced generation hybrids suggests that pleiotropy or linkage between genes underlying behaviour and armour morphology may be greater than previously appreciated.",,,en,Research Article,
Journal Article,"Samuk K,Manzano-Winkler B,Ritz KR,Noor MAF",Gene flow biases population genetic inference of recombination rate,bioRxiv,bioRxiv,2021,,,2021.09.26.461846,Samuk Publication List,,,,,2021-09,,,,https://www.biorxiv.org/content/10.1101/2021.09.26.461846v1.abstract,https://doi.org/10.1101/2021.09.26.461846,,,"Accurate estimates of the rate of recombination are key to understanding a host of evolutionary processes as well as the evolution of recombination rate itself. Model-based population genetic methods that infer recombination rates from patterns of linkage disequilibrium (LD) in the genome have become a popular method to estimate rates of recombination. However, these LD-based methods make a variety of simplifying assumptions about the populations of interest that are often not met in natural populations. One such assumption is the absence of gene flow from other populations. Here, we use forward-time population genetic simulations of isolation-with-migration scenarios to explore how gene flow affects the accuracy of LD-based estimators of recombination rate. We find that moderate levels of gene flow can result in either the overestimation or underestimation of recombination rates by up to 20-50% depending on the timing of divergence. We also find that these biases can affect the detection of interpopulation differences in recombination rate, causing both false positive and false negatives depending on the scenario. We discuss future possibilities for mitigating these biases and recommend that investigators exercise caution and confirm that their study populations meet assumptions before deploying these methods.",,,,Research Article,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Samuk, K., & Noor, M. A. F. (2021). Gene flow biases population genetic inference of recombination rate. In bioRxiv (p. 2021.09.26.461846). https://doi.org/10.1101/2021.09.26.461846",,,,,,,,,,,,,,,,,,,,
